=== Sheet: 费用清单 (dims: A1:J76) ===
制造业数字化转型促进中心“深度行”四川站活动
暨“智改数转”供需对接会活动
结算清单 |  |  |  |  |  |  |  |  | 
时间：2026年5月7日                                                    地点：四川数智化绿色化发展促进中心四楼 |  |  |  |  |  |  |  |  | 
类别 | 项目 | 规格 | 材质工艺 | 单位 | 数量 | 验收报告 | 单价（元） | 小计（元） | 开票及支付情况
 | 手提袋定制 |  |  | 个 | 300 | 260 | 3 | 900 | 未开票，未支付
 | 站位贴 |  | 不干胶贴 | 张 | 10 | 20 | 2 | 20 | 未开票，未支付
 | 话筒贴 |  | 写真裱KT板 | 份 | 5 | 5 | 8 | 40 | 未开票，未支付
 | 旗帜制作 |  | 旗帜+旗杆 | 套 | 3 | 3 | 120 | 360 | 未开票，未支付
 | 接机牌 |  | 写真裱KT板+杆子 | 套 | 4 |  | 68 | 272 | 未开票，未支付
 | 停车证 |  | 铜版纸彩色快印+塑封 | 张 | 14 |  | 12 | 168 | 未开票，未支付
 | 线上报名系统 |  |  | 项 | 1 | 1 | 500 | 500 | 未开票，未支付
 | LED控台 |  |  | 套 | 1 | 1 | 2500 | 2500 | 未开票，未支付
 | 400*400灯光铝架 | 9m*4m | 灯光 | 组 | 2 | 2 | 2400 | 4800 | 未开票，未支付
 | 光束灯 |  |  | 台 | 12 | 16 | 300 | 3600 | 未开票，未支付
 | COB面光灯 |  |  | 台 | 18 | 22 | 85 | 1530 | 未开票，未支付
 | LED帕灯 |  |  | 台 | 18 | 22 | 95 | 1710 | 未开票，未支付
 | 沙发 |  |  | 个 | 8 | 6 | 270 | 2160 | 未开票，未支付
 | 茶几 |  |  | 个 | 6 | 5 | 20 | 120 | 未开票，未支付
 | 签到桌（带白色桌布） | 1.8m*0.6m |  | 张 | 2 | 1 | 65 | 130 | 未开票，未支付
 | 三楼增加视频直播 |  | 切换台 | 项 | 1 |  | 1500 | 1500 | 未开票，未支付
 |  |  | 导播 | 项 | 1 |  | 1000 | 1000 | 未开票，未支付
 |  |  | 推流 | 项 | 1 |  | 800 | 800 | 未开票，未支付
人员部分 | 专业主持人 |  |  | 人 | 1 | 1 | 4500 | 4500 | 未开票，未支付
 | 礼仪人员（含彩排） |  |  | 人 | 4 | 6 | 900 | 3600 | 未开票，未支付
 | LED控台人员（含彩排） |  |  | 人 | 1 | 1 | 1000 | 1000 | 未开票，未支付
 | 音控人员（含彩排） |  |  | 人 | 1 | 1 | 1000 | 1000 | 未开票，未支付
 | 灯光控台人员（含彩排） |  |  | 人 | 1 | 1 | 1000 | 1000 | 未开票，未支付
 | 摄影（图片直播） |  |  | 人 | 1 | 1 | 1800 | 1800 | 未开票，未支付
 | 摄像 |  |  | 机位 | 2 | 2 | 1800 | 3600 | 未开票，未支付
 | 现场执行工作人员 |  |  | 人 | 6 | 12 | 300 | 1800 | 未开票，未支付
仪式设备及视频 | 发布内容介绍视频（含配音） |  |  | 项 | 1 | 1 | 5000 | 5000 | 未开票，未支付
 | 首批制造业数字化转型促进中心（电子信息制造业）重点能力展示视频 |  |  | 项 | 1 |  | 6000 | 6000 | 未开票，未支付
 | 数智通视频 |  |  | 项 | 1 |  | 5000 | 5000 | 未开票，未支付
 | 发布仪式视频制作 |  |  | 项 | 2 | 2 | 800 | 1600 | 未开票，未支付
 | 启动仪式设备租赁 | 6m | 冰屏 | 套 | 1 | 1 | 4800 | 4800 | 未开票，未支付
 | 启动仪式视频制作 |  |  | 项 | 1 | 1 | 800 | 800 | 未开票，未支付
 | 签约仪式电子签约台 |  |  | 台 | 7 | 7 | 650 | 4550 | 未开票，未支付
其他费用 | 矿泉水（孜养甘泉 390ML 成都产） | 24瓶/件 |  | 件 | 12 |  | 31.2 | 374.4 | 已开票，已支付
 | 促进中心餐费 |  |  | 项 | 1 |  | 16400 | 16400 | 已开票，已支付
 | 场地费 |  |  | 项 | 1 |  | 6250 | 6250 | 已开票，已支付
 | 租车费 |  |  | 项 | 1 | 1 | 8646 | 8646 | 已开票，已支付
 | 媒体费 |  |  | 项 | 1 |  | 2800 | 2800 | 未开票，未支付
 | 临时停车费 |  |  | 项 | 1 |  | 357 | 357 | 已开票，已支付
 | 运杂费 |  |  | 项 | 1 |  | 2975 | 2975 | 未开票，未支付
以上合计 |  |  |  |  |  |  |  | 137726.4 | 
税费3% |  |  |  |  |  |  |  | 4131.6 | 
总计 |  |  |  |  |  |  |  | 141858 | 
 |  |  |  | 成都鼎函九筹会议服务有限公司 |  |  |  |  | 
 |  |  |  | 46143 |  |  |  |  | 
