填表说明：根据指南编码规则编号,nan,nan,以项目批复中对应内容为准,nan,nan,以项目批复中项目实施地点为准，例：XX乡（镇）XX 村（居）,以项目竣工决算中项目主要建设内容为准,"与表2数据一致
（保留小数点后面2位）",nan,nan,"与表2数据一致
（保留小数点后面2位）",nan,nan,在“经营类、公益类、到户类“中选择,在“青稞、小麦、饲料、牦牛、乳、羊、猪、鸡、蜂、鱼虾、藏药、,在“巩固、升级、盘活、调整”中选择,在“巩固、升级、盘活、调整”中选择，仅经营类项目填写,根据实际情况填写“是/否”,在“自主运营、合作运营、委托运营“中选择,在“农村集体经济组织、农牧民专业合作社、农户、国企、私企、个,nan,根据实际情况填写“是/否”,例：2022.09,例：该项目带动建档立卡群众不低于23户79人增收，分红金额不,nan,nan,以项目实施内容对应行业单位为准,nan,在“是/否”中选择,财评、合同、立项等,在“是/否”中选择,nan,在“是/否”中选择
540425201608002,林芝市,察隅县,2016,察瓦龙乡藏鸡养殖项目,察瓦龙乡人民政府,察瓦龙乡,建设内容：修建9个鸡圈，购买鸡苗75只，购买饲料等,34,30,4,34,30,4,到户类,鸡,调整,,否,,,,,,,,,,,是,确权资料+2013年批复项目汇总表,,无需写,
540425201607004,林芝市,察隅县,2016,察瓦龙乡藏猪养殖项目,察瓦龙乡人民政府,察瓦龙乡,建设内容：修建24个猪圈，化粪池24座，购买猪仔288头，每村购买种猪1头，每户购买可繁育母猪1头，购买饲料等,38.907,38.907,0,38.907,38.907,0,到户类,猪,调整,,,,,,,,,,,,,否,,否,,
540425201616005,林芝市,察隅县,2016,察瓦龙乡贫困户温室大棚建设项目,察瓦龙乡人民政府,察瓦龙乡邓许村、龙普村、昌西村,察瓦龙乡修建温室大棚36座，邓许村11座，龙普村21座，昌西村4座,57.19,57.19,0,57.19,57.19,0,公益类,设施农业,升级,,,,,,,,,,,,,是,在察隅县大棚里面有张确权表,是,是,
540425201608003,林芝市,察隅县,2016,察瓦龙乡贫困养鸡项目,察瓦龙乡人民政府,察瓦龙乡拉卡村、邓许村、昌西村、珠拉村,察瓦龙乡扶持贫困户养鸡9户，其中拉卡5户，邓许1户，昌西1户，珠拉2户,12.71,12.71,0,12.71,12.71,0,到户类,鸡,调整,,,,,,,,,,,,,是,在察隅县养鸡里面有张确权表,否,无需写,
540425201607005,林芝市,察隅县,2016,察瓦龙乡贫困户养猪项目,察瓦龙乡人民政府,察瓦龙乡洪东，昌西，邓许，拉卡，瓦布，学巴，扎然,察瓦龙乡扶持贫困户养猪24户，其中拉卡6户，邓许1户，洪东6户，昌西4户，瓦布1户，扎然1户，学巴5户,42.06,42.06,0,42.06,42.06,0,到户类,猪,调整,,,,,,,,,,,,,是,在察隅县养猪里面有张确权表,否,无需写,
540425201607006,林芝市,察隅县,2016,察隅县贫困户藏猪养殖项目,察隅县农牧局,6个乡镇,为我县6个乡镇49个行政村291户建档立卡贫困户修建猪舍5238平方米；购置种公猪49头、种母猪291头、仔猪1272余头。,490.394,474.2525,16.1415,474.2525,474.2525,,到户类,猪,盘活,,,,,,,,,,,,,是,项目资料,否,,
540425201608004,林芝市,察隅县,2016,察隅县贫困户养殖鸡项目,察隅县农牧局,6个乡镇,为我县6个乡镇235户建档立卡贫困户修建鸡舍4230平方米；购置鸡苗7600只（公母1：9）；购买饲料等,218.605,208.605,10,162.96,162.96,,到户类,鸡,盘活,,,,,,,,,,,,,是,项目资料,否,无需写,
540425201619009,林芝市,察隅县,2016,察隅县上察隅镇迟巴村产业扶贫,察隅县农牧局,上察隅镇迟巴村,购买农机具7台；购买猪仔145头，为7户群众修建猪舍140㎡，购买母猪12头，公猪5头；狗仔鸡仔370只，修建鸡舍400㎡；种植板栗核桃8亩；种植黑木耳（每户100菌袋）；种植天麻1800㎡；种植油茶、枇杷180亩,160.32,160.32,0,160.32,160.32,0,到户类,其他,调整,,否,,,,,,,,,,,否,立项批复，审定金额待定,否,是,
540425201719010,林芝市,察隅县,2017,察隅县上察隅镇西巴村珞巴民族服饰加工项目,上察隅镇人民政府,上察隅镇西巴村,修建120米玻璃展柜，购买4台缝纫机，10台编织机，购买编织材料，对原有编织房进行维修以及线路改造,24.62,24.62,0,24.62,24.62,0,公益类,其他,调整,,是,,,,,,,,,,,是,确权资料,否,无需写,
540425201718001,林芝市,察隅县,2017,察隅县察瓦龙乡汽修市场建设项目,察隅县扶贫开发投资有限公司,察瓦龙乡,汽车修理厂849㎡，商业楼2493㎡，洗车间109.12㎡，门卫室14.8㎡，公厕37.41㎡以及大门、室外给排水、室外电气、水泥硬质地面、铺装工程、土石方工程、围墙工程、停车位工程、挡土墙工程、照明工程等,1383.28,1383.28,0,1308.152951,1308.152951,0,经营类,商贸流通,巩固,巩固,是,自主运营,国企,察隅县扶贫开发投资有限公司,否,,,,,察隅县交通运输局,,是,确权资料,是,无需写,
540425201715001,林芝市,察隅县,2017,察隅县下察隅镇夏尼村猕猴桃产业园区建设项目,察隅县农牧局,下察隅镇夏尼村,新建培训管理中心212.52㎡，基地入口到培训中心之间道路硬化，硬化面积630.00㎡（道路宽3.5m，长度为180m）及其他配套附属设施建设；种植猕猴桃50亩。,150,150,0,132.705999,132.705999,0,经营类,猕猴桃,巩固,巩固,是,委托运营,私企,察隅县兴农猕猴桃有限公司,是,,项目盈利时，按照合同约定向村集体分红,99766,,察隅县农业农村局​,,否,立项+50-1000万台账,否,是,
540425201718002,林芝市,察隅县,2017,察隅县汽修市场建设项目,察隅县住建局,竹瓦根镇,1#楼工程（小车机修）2328.31平方米、2#楼工程（大车机修）2510.43平方米、门卫室及附属设施等,1936.76,1936.76,0,1904.50766838959,1904.50766838959,0,经营类,商贸流通,巩固,巩固,是,自主运营,国企,察隅县扶贫开发投资有限公司,否,,,,,察隅县交通运输局,,否,立项批复+19-25年台账（19年）,否,是,
540425201715002,林芝市,察隅县,2017,察隅县下察隅镇布巴村等三个行政村猕猴桃种植建设项目,下察隅镇人民政府,下察隅镇布巴村、京都村、宗古村,"1、核定布巴村种植猕猴桃370亩，大门一座（含值班室），土地整治及改良370亩，购买种苗37000株，撒播有机肥740吨，修建240立方米（24m×10m×1m）晒水池1处，引水管1300m，修排水沟3374m（0.4m×0.4m），修筑1200m防风林，搭架立桩27750根，牵拉铁丝，安装微喷设备等内容；
    2、核定京都村种植猕猴桃243亩，大门一座（含值班室），土地整治及改良243亩，购买种苗24300株，撒播有机肥243吨，网围栏6386米，修建100立方米（10m×10m×1m）晒水池2处，水管道（含1个蓄水池）1024m，搭架立桩18225根，牵拉铁丝，安装微喷设备等内容；
    3、核定宗古村种植猕猴桃230亩，大门一座（含值班室），土地整治及改良230亩，购买种苗23000株，撒播有机肥230吨，修筑800米防风林，网围栏3399米，修建100立方米（10m×10m×1m）晒水池2处，引水管道（含1个蓄水池）5800m，搭架立桩17250根，牵拉铁丝，安装微喷设备，修砂石路长1000m（宽3.5m）等内容。",2130.42,1484.39,646.03,2100.94,1484.39,616.55,经营类,猕猴桃,巩固,巩固,是,委托运营,私企,察隅县宗古农业发展有限责任公司、察隅县兴农猕猴桃有限公司、西藏林芝察隅巴布吉土地种植专业合作社,是,,,1050407,,察隅县农业农村局​,宗古村由察隅县宗古农业发展有限责任公司进行运营、京都村由察隅县兴农猕猴桃有限公司运营、布巴村由西藏林芝察隅巴布吉土地种植专业合作社运营,否,只有电子数据，来源超1000万财评，2019年,是,是,
540425201719011,林芝市,察隅县,2017,察隅县古玉乡博学村传统工艺品加工坊项目,古玉乡人民政府,古玉乡博学村,修建传统工艺品加工坊一座,36,36,0,36,36,0,经营类,商贸流通,巩固,调整,否,,,,否,,,,,察隅县农业农村局​,,否,,否,是,是
540425201719012,林芝市,察隅县,2017,察隅县古玉乡罗马村松茸加工坊,古玉乡人民政府,古玉乡罗马村,修建业务用房一座,20,20,0,20,20,0,经营类,设施农业,升级,调整,否,委托运营,个体工商户,白玛曲培,否,,,,,察隅县农业农村局​,,否,,否,是,是
540425201811001,林芝市,察隅县,2018,察隅县察瓦龙乡龙布村重楼种植项目,察瓦龙乡人民政府,察瓦龙乡龙布村,“能人+贫困户”，栽种280000株，遮阳网、遮阳架28亩，灌溉水管及土地平整28亩；种苗及设备购置:购买种苗280000株，肥料28吨，病虫害防治及追肥28亩。,64.4,50,14.4,64.4,50,14.4,经营类,藏药,升级,调整,否,,,,,,,,,,,是,确权资料,否,无需写,是
540425201811002,林芝市,察隅县,2018,察隅县察瓦龙乡扎恩村重楼种植项目,察瓦龙乡人民政府,察瓦龙乡扎恩村,“能人+贫困户”，栽种280000株，遮阳网、遮阳架28亩，灌溉水管及土地平整28亩；种苗及设备购置:购买种苗280000株，肥料28吨，病虫害防治及追肥28亩。,64.4,50,14.4,64.4,50,14.4,经营类,藏药,升级,调整,否,,,,,,,,,,,是,确权资料,否,无需写,是
540425201816008,林芝市,察隅县,2018,察隅县察瓦龙乡苗圃基地建设项目,察瓦龙乡人民政府,察瓦龙乡,项目模式为“能人+贫困户”，PE25灌溉水管及配套设施3000米，土地平整40亩，遮阳网、遮阳架40亩;种苗及设备购置:购买种苗3200株。,51.6,50,1.6,51.6,50,1.6,经营类,设施农业,升级,调整,否,,,,,,,,,,,是,确权资料,是,无需写,是
540425201819013,林芝市,察隅县,2018,察隅县上察隅镇西巴村铁皮石斛种植扩建项目,上察隅镇人民政府,上察隅镇西巴村,项目模式为“村集体+贫困户”，种植仿野生苗木10亩（含采购苗木60000丛），修建蓄水池1座（长*宽*高为4m*4m*2m），铁丝网围栏1000米，沉砂池、引水渠等。,50,50,0,50,50,0,经营类,藏药,升级,调整,是,委托运营,私企,西藏兵哥建筑工程有限公司,是,,,,,,,是,确权资料+立项批复,否,无需写,是
540425201807007,林芝市,察隅县,2018,察隅县古玉乡古井村藏香猪养殖项目,古玉乡人民政府,古玉乡古井村,项目模式为“合作社+贫困户”，扩建猪舍53.2㎡；新建铁丝网围栏1300m，办公室及厨房34.44㎡，饲料加工室17.6㎡，育猪室68.04㎡，库房14㎡，待宰室13.44㎡，水池6m3，场地平整765㎡，线路改造、屋面改造1项；采购卫生防疫500头，买种猪340头，购买加工饲料机1台，柴油发电机1台。,64.84,50,14.84,64.84,50,14.84,经营类,猪,盘活,调整,是,委托运营,农牧民专业合作社,察隅县古玉乡古井村青冈林藏香猪养殖专业合作社,否,,,28000,,察隅县农业农村局​,,是,确权资料,是,无需写,是
540425201808005,林芝市,察隅县,2018,察隅县古玉乡古井村藏鸡养殖项目,古玉乡人民政府,古玉乡古井村,项目模式为“能人+贫困户”，新建鸡舍160㎡，新建消毒室、饲料加工间、仓库、职工宿舍64㎡，下蛋室4间，新建蓄水池1座，新建化粪池1座，购置铁丝围栏及立柱550m，场地平整30375m3，道路平整30420m3，铁质大门1座，线路改造1项；种鸡及设备购置费：购买种鸡（藏鸡）1500只，购置饲料加工设备1台，孵化器2台。,55.6,50,5.6,55.6,50,5.6,经营类,鸡,盘活,调整,是,委托运营,个体工商户,察隅县兄弟藏鸡养殖场,否,,,51700,,察隅县农业农村局​,,是,确权资料,是,无需写,是
540425201807008,林芝市,察隅县,2018,察隅县竹瓦根镇扎拉村阿多专业养殖合作社项目,竹瓦根镇人民政府,竹瓦根镇扎拉村,项目模式为“合作社+贫困户”，平整土地2000㎡；新建猪圈20间，总建筑面积340㎡；新建化粪池1座；新建消毒室1座，建筑面积17.6㎡；PE32给水管200m，DN110排污管200m。采购猪苗100头，消毒设备（型号BG-C4）1台,71.44,50,21.44,71.44,50,21.44,经营类,猪,盘活,盘活,是,委托运营,农户,刘勇,,,,,,察隅县农业农村局​,,是,确权资料,是,无需写,是
540425201807009,林芝市,察隅县,2018,察隅县竹瓦根镇桑久村藏香猪养殖项目,竹瓦根镇人民政府,竹瓦根镇桑久村,项目模式为“村集体+贫困户”， 新建围墙200m，铁大门1扇，给水管100m，铜芯线100m，仓库及饲养员室1间，消毒室1间，猪圈14间，化粪池1座;设备购置:电力变压器1台，消毒设备1台，种猪1头，母猪10头，猪仔90头,53.08,50,3.08,53.08,50,3.08,经营类,猪,盘活,调整,是,委托运营,农户,扎西次仁,,,,41680,,察隅县农业农村局​,,是,确权资料,是,无需写,是
540425201805001,林芝市,察隅县,2018,察隅县古玉乡博学村犏奶牛养殖场扩建项目,古玉乡人民政府,古玉乡博学村,项目模式为“合作社+贫困户”，新建牛圈319.64m2，建筑工程319.64m2，安装工程319.64m2，大门1座，围墙120m；购置犏奶牛：母牛20头，公牛3头。,72.58,50,22.58,72.58,50,22.58,经营类,乳,升级,升级,是,委托运营,农牧民专业合作社,察隅县古玉乡博学村杰荣养殖专业合作社,否,,,76100,,察隅县农业农村局​,,是,确权资料,否,无需写,
540425201807010,林芝市,察隅县,2018,下察隅镇京都村藏香猪养殖项目,下察隅镇人民政府,下察隅镇京都村,"1.扩建猪舍面积153.88平方米；2.新建饲料库房及饲料加工房70.56平方米；3.建蓄水池1座（采用砖混结构长3m*宽4m*高1.2m）；4.买可繁育母猪60头（繁育母猪需为已生育过1窝猪仔的母猪）、种猪3头（种猪年龄1.5-2年）；5.购买加工饲料机1台（型号：9FQ40-28,动力：11-15kw）;6.购买柴油发电机1台（型号：L32-R00，功率：11-15KW）；7.新建猪舍C20混凝土硬化路面91.02平方米；8.PE水管直径75mmPE管300m,PE水管直径25mmPE管260m;9.新建简易木桥一座，采用木质结构（10米*2米）；10.原猪舍铁皮100张；11.铁丝围栏700m,围栏1.5m高，每隔3米设置一根圆钢管立柱，立柱高3m,立柱基础埋深30cm；11.新建大门2个（2m*3m）。",54.44,50,4.44,54.44,50,4.44,经营类,猪,盘活,升级,是,委托运营,农牧民专业合作社,下察隅镇京都村阿胖养殖专业合作社,,,,,,察隅县农业农村局​,,是,确权资料,是,无需写,
540425201807011,林芝市,察隅县,2018,察隅县古拉乡俄玉村藏香猪养殖项目,古拉乡人民政府,古拉乡俄玉村,项目模式为“合作社+贫困户”，建设猪舍105.7㎡，育种室和隔离室164.16㎡，仓库及管理用房68.64㎡，围墙200m，供水1项，购买猪仔80头，种猪4头，能繁母猪20头，饲料、防疫及运转费用1项，供电1项。,50,50,0,50,50,0,经营类,猪,盘活,盘活,是,,,,否,,,,,察隅县农业农村局,,是,确权资料,是,无需写,是
540425201812003,林芝市,察隅县,2018,察隅县产业扶贫毕达村茶叶种植项目,察隅县扶贫开发投资有限公司,上察隅毕达村,土地平整：土石方工程1项，筑田埂18975.08m，挖土沟(背沟开挖）12821m；灌溉工程:管道工程1项，蓄水池1座，沉砂池1座；茶叶苗种植工程:种植1794940株；附属工程：钢丝网围栏3500m；设备及工器具购置：购买及运输除草机4部，购买及运输修剪机4台，购买及运输中耕机4台，购买及运输施肥机2台，购买、运输及安装防虫灯、黄板等设施51台，购买运输安装基地大门1个，购买安装标识牌1个。,915.53,457.765,457.765,566.120561,283.0602805,283.0602805,经营类,茶,升级,升级,否,,,,,,,,,,项目尚未移交，还在管护中,是,确权资料+50-1000万财评统计表,否,无需写,
540425201812004,林芝市,察隅县,2018,察隅县产业扶贫松古村茶叶种植项目,察隅县扶贫开发投资有限公司,下察隅镇松古村,土地平整：土石方工程1项，修筑田埂24087m，挖土沟(背沟开挖）16275m；灌溉工程：管道工程1项，蓄水池1座，沉砂池1座；茶叶苗种植2598500株；附属工程：钢丝网围栏3500m，设备及工器具购置费，购买及运输除草机4部，购买及运输修剪机4台，购买及运输中耕机4台，购买及运输施肥机2台，购买、运输及安装防虫灯、黄板等设施65台，购买运输安装基地大门1个，购买安装标识牌1个。,1205.59,602.795,602.795,937.07852,468.53926,468.53926,经营类,茶,升级,升级,是,,,,,,,,,,,是,确权资料+50-1000万台账+财评,否,无需写,
540425201819014,林芝市,察隅县,2018,西藏牧野香畜禽养殖基地建设项目,察隅县扶贫开发投资有限公司,竹瓦根镇学尼村,新建猪舍375.06平方米、库房153.52平方米、宿舍及办公室119.31平方米、铁丝网围栏465m、病害猪隔离圈24平方米、无公害处理设施16平方米、场地硬化562.45平方米、新建大门一座，采购相关设备及相应配套设施。,379.93,250,129.93,361.466225,236.271175,125.19505,经营类,其他,盘活,巩固,否,,,,,,,,,,底稿已写,是,确权资料,否,无需写,
540425201812006,林芝市,察隅县,2018,察隅县茶叶产业项目（第二批）,察隅县产业发展工作领导小组办公室,下察隅沙玛村、上察隅米古村,在沙玛村、米古村、群众房前屋后等地点实施茶叶种植及配套附属设施建设等,2000,2000,0,2000,2000,0,经营类,茶,升级,升级,是,委托运营,私企,林芝毛尖茶叶有限责任公司,否,,,,800,察隅县农业农村局​,与沙玛村枇杷种植水肥一体化项目同一地点实施，枇杷茶叶套种，期间补种茶叶，原茶叶数量不详,否,,否,是,
540425201812008,林芝市,察隅县,2018,察隅县荣玉村2018年有机茶叶种植项目,察隅县扶贫开发投资有限公司,上察隅镇荣玉村,土地平整650亩，修建灌溉与排水工程，茶叶种植，第一次树苗种植1094660株，第二次补苗131359株，第三次补苗10508株，设备采购及附属设施,435.6,435.6,0,435.6,435.6,0,经营类,茶,升级,升级,否,,,,否,,,,,,村里收取管护费，分给村民，800/亩，共计158亩。收取了22年、23年。,是,本项目资料和确权资料同名，但是内容不一样，需要核实本项目来源,否,无需写,
540425201712009,林芝市,察隅县,2017,察隅县体育村2018年有机茶叶种植项目,察隅县扶贫开发投资有限公司,上察隅镇体育村,土地平整244.12亩，修建灌溉与排水工程，茶叶种植、设备采购及附属设施。第一次树苗种植854420株，第二次补苗102530株，第三次补苗8202株，及附属设施等。,600.7,400.47,200.23,600.7,400.47,200.23,经营类,茶,升级,调整,否,,,,,,,,,,,是,确权资料+50-1000万财评统计表,否,无需写,
540425201804004,林芝市,察隅县,2018,龙普村嘉兴组犏奶牛项目,察隅县农业农村局,察瓦龙乡龙普村,为察瓦龙乡龙普村嘉兴组购置牦奶牛15头，种牛1头,12.5112,12.5112,0,12.5112,12.5112,0,到户类,牦牛,调整,,否,,,,,,,,,,确权表主体是察瓦龙乡人民政府,是,确权资料,否,无需写,
540425201820008,林芝市,察隅县,2018,察隅县察瓦龙乡卡地村软籽石榴种植基地建设项目,察隅县林业和草原局,察瓦龙乡卡地村,营造林：种苗9804株，种植130.7亩，培训指导2年，有机肥98.04吨，病虫害防治130.7亩，人工修枝及管理130.7亩，工具费130.7亩（每亩配2把修枝剪、1个喷雾器）。,180.14,180.14,0,171.659074,171.659074,0,经营类,石榴,调整,调整,否,,,,,,,,,,已搬迁,是,确权资料,否,无需写,是
540425201820009,林芝市,察隅县,2018,察隅县察瓦龙乡格布村软籽石榴种植基地建设项目,察隅县林业和草原局,察瓦龙乡格布村,营造林：种苗8313株，种植184.7亩，培训指导2年，有机肥83.13吨，病虫害防治184.7亩，人工修枝及管理184.7亩，工具费184.7亩（每亩配2把修枝剪、1个喷雾器）。,160.52,160.52,0,160.52,160.52,0,经营类,石榴,调整,盘活,是,委托运营,个体工商户,仁青,否,,,,,​察隅县农业农村局,确权表主体是察隅县扶贫开发办公室,是,确权资料+50-1000万财评统计表,否,无需写,是
540425201820010,林芝市,察隅县,2018,察隅县察瓦龙乡左布村软籽石榴种植基地建设项目,察隅县林业和草原局,察瓦龙乡左布村,营造林：种苗5441株，种植120.9亩，培训指导2年，有机肥54.41吨，病虫害防治120.9亩，人工修枝及管理120.9亩，工具费120.9亩（每亩配2把修枝剪、1个喷雾器）,101.45,101.45,0,95.284457,95.284457,0,经营类,石榴,调整,盘活,否,自主运营,,,否,,,,,察隅县农业农村局,,是,确权资料,是,无需写,是
540425201820011,林芝市,察隅县,2018,察隅县察瓦龙乡处尼村软籽石榴种植基地建设项目,察隅县林业和草原局,察瓦龙乡处尼村,营造林：种苗2610株，种植58亩，培训指导2年，有机肥26.1吨，病虫害防治58亩，人工修枝及管理58亩，工具费58亩（每亩配2把修枝剪、1个喷雾器）。,60.87,60.87,0,57.611099,57.611099,0,经营类,石榴,调整,调整,否,,,,,,,,,,已搬迁,是,确权资料,否,无需写,是
540425201820012,林芝市,察隅县,2018,察隅县察瓦龙乡沙布村软籽石榴种植基地建设项目,察隅县林业和草原局,察瓦龙乡沙布村,营造林：种苗7866株，种植174.81亩，培训指导2年，有机肥78.66吨，病虫害防治174.81亩，人工修枝及管理174.81亩，工具费174.81亩（每亩配2把修枝剪、1个喷雾器）,148.07,148.07,0,138.449527,138.449527,0,经营类,石榴,调整,升级,否,自主运营,,,,,,,,察隅县农业农村局,,是,确权资料,否,无需写,
540425201820013,林芝市,察隅县,2018,察隅县古拉乡察空村软籽石榴种植基地建设项目,察隅县林业和草原局,古拉乡察空村,营造林：种苗23573株，种植428.6亩，培训指导2年，有机肥235.73吨，病虫害防治428.6亩，人工修枝及管理428.36亩，工具费428.6亩（每亩配2把修枝剪、1个喷雾器），保水剂428.6亩，网围栏4871米；给水工程：蓄水池120㎡，管网工程1项；土石方工程：客土改良2000m³，机械挖坑428.6亩。,521.33,521.33,0,440.095915,440.095915,0,经营类,石榴,调整,调整,否,,,,,,,,,,已搬迁,是,确权资料,是,无需写,是
540425201819016,林芝市,察隅县,2018,察瓦龙乡、古拉乡2018年秋季庭院经济项目,察隅县林业和草原局,察瓦龙乡邓许村、扎那村、龙普村、岗藏村、康然村、前中瓦村、梦扎村、格日村、拉卡村、巴布村、目巴村、学巴村、珠拉村、洪东村、扎然村、瓦布村、古拉乡安巴村、关龙村、觉不如村、则巴村、扎兴村、日托村、俄玉村,在察瓦龙乡、古拉乡23个村开展庭院经济项目，为23个村群众发放经济林木1.5万余株。,153.1,153.1,0,153.1,153.1,0,到户类,其他,调整,,,,,,,,,,,,已搬迁,是,确权资料,否,无需写,
540425201815003,林芝市,察隅县,2018,察隅县产业扶贫猕猴桃种植基地建设项目,察隅县扶贫开发投资有限公司,下察隅镇松古村,生活管理用房：建筑装饰工程123.96㎡，安装工程123.96㎡；管道工程8520m，水池工程2座，道路工程1188m3，围墙945m；其他工程：混凝土立柱22500根，网围栏1290m，架设钢丝60t，土地整治300亩，树苗种植27000株，广告牌1套。,771.95,500,271.95,693.685557,474.863231,218.822326,经营类,猕猴桃,巩固,升级,是,,,,,,,,,,,是,确权资料+50-1000万财评统计表（没有审定金额）,否,无需写,
540425201820015,林芝市,察隅县,2018,察隅县察瓦龙乡扎恩村软籽石榴种植基地建设项目,察隅县林业和草原局,察瓦龙乡扎恩村,营造林：种苗4344株，种植96.5亩，培训指导2年，有机肥43.44吨，病虫害防治96.5亩，人工修枝及管理96.5亩，工具费96.5亩（每亩配2把修枝剪、1个喷雾器）,77.25,77.25,0,77.25,77.25,0,经营类,石榴,调整,盘活,否,自主运营,农村集体经济组织,林芝市察隅县察瓦龙乡扎恩村股份经济合作社,否,,,,,察隅县农业农村局,,否,立项批复+50-1000万台账（未注明审定金额）,否,是,是
540425201819017,林芝市,察隅县,2018,察隅县古玉乡古井村松茸加工房,古玉乡人民政府,古玉乡古井村,修建业务用房一座,30,30,0,30,30,0,经营类,设施农业,升级,调整,是,委托运营,个体工商户,乔君伟,否,,,,,察隅县农业农村局​,,否,,否,是,
540425201819018,林芝市,察隅县,2018,察隅县古玉乡然乌学村然乌学组松茸加工坊,古玉乡人民政府,古玉乡然乌学村,修建业务用房一座,43,40,3,40,40,0,经营类,其他,调整,调整,否,,,,否,,,,,察隅县农业农村局​,,否,,否,是,是
