id,dept_code,dept_name,budget_year,initial_amount,adjusted_amount,final_amount,func_class,eco_class,fund_source
100,001,教育局,2025,652.19,2011.11,466.44,205-教育,301-工资,专项转移支付
101,006,人社局,2025,433.09,3695.09,2179.63,208-社会保障,302-商品服务,政府性基金
102,001,教育局,2025,799.72,3770.31,1733.47,206-科学技术,301-工资,政府性基金
103,008,科技局,2025,2352.49,2962.98,1936.34,212-城乡社区,309-资本性支出,专项转移支付
104,004,住建局,2025,4001.61,522.31,1379.23,213-农林水,309-资本性支出,政府性基金
105,006,人社局,2025,3249.57,3428.85,2081.71,210-卫生健康,301-工资,政府性基金
106,005,农业农村局,2025,4906.91,774.98,1650.67,212-城乡社区,309-资本性支出,专项转移支付
107,001,教育局,2025,3481.14,4402.07,897.87,205-教育,309-资本性支出,一般公共预算
108,001,教育局,2025,860.76,1950.18,4065.96,208-民政,301-工资,政府性基金
109,005,农业农村局,2025,336.08,3542.44,3851.67,208-民政,302-商品服务,政府性基金
110,007,民政局,2025,255.44,1889.19,3893.11,208-社会保障,302-商品服务,一般公共预算
111,003,交通局,2025,3600.31,3430.09,3847.58,206-科学技术,301-工资,专项转移支付
112,004,住建局,2025,3833.64,5095.81,2420.59,210-卫生健康,301-工资,专项转移支付
113,001,教育局,2025,3950.44,2742.82,2107.77,210-卫生健康,309-资本性支出,政府性基金
114,001,教育局,2025,1793.99,503.76,1810.53,212-城乡社区,309-资本性支出,政府性基金
115,002,卫健委,2025,150.54,4947.67,629.21,208-民政,309-资本性支出,政府性基金
116,004,住建局,2025,4143.42,4448.68,2660.08,208-民政,301-工资,专项转移支付
117,008,科技局,2025,4843.08,2412.95,3381.23,205-教育,302-商品服务,一般公共预算
118,005,农业农村局,2025,3695.9,4029.8,4969.45,208-社会保障,302-商品服务,政府性基金
119,007,民政局,2025,1728.28,4398.11,4731.44,208-社会保障,309-资本性支出,政府性基金
120,002,卫健委,2025,1784.37,2204.58,2136.49,210-卫生健康,302-商品服务,一般公共预算
121,006,人社局,2025,4036.47,2724.12,2997.33,213-农林水,301-工资,一般公共预算
122,007,民政局,2025,1802.9,2857.7,4115.03,213-农林水,309-资本性支出,一般公共预算
123,003,交通局,2025,2222.99,419.03,367.81,210-卫生健康,309-资本性支出,政府性基金
124,002,卫健委,2025,795.49,425.03,1311.21,210-卫生健康,302-商品服务,专项转移支付
125,006,人社局,2025,655.18,677.81,3852.01,212-城乡社区,302-商品服务,专项转移支付
126,005,农业农村局,2025,2366.94,348.89,2258.8,212-城乡社区,309-资本性支出,专项转移支付
127,003,交通局,2025,2609.91,3554.8,3119.8,208-民政,301-工资,政府性基金
128,007,民政局,2025,2108.07,4131.09,568.78,208-社会保障,309-资本性支出,一般公共预算
129,006,人社局,2025,893.42,1263.76,4180.81,208-社会保障,301-工资,政府性基金
130,005,农业农村局,2025,524.24,937.86,4475.28,212-城乡社区,302-商品服务,一般公共预算
131,006,人社局,2025,882.51,607.4,209.46,206-科学技术,302-商品服务,专项转移支付
132,003,交通局,2025,1932.68,2844.12,263.02,208-民政,309-资本性支出,一般公共预算
133,004,住建局,2025,381.31,3844.51,2347.73,208-社会保障,302-商品服务,政府性基金
134,007,民政局,2025,4378.32,3637.21,4417.58,206-科学技术,302-商品服务,政府性基金
135,002,卫健委,2025,784.34,1730.75,2407.07,214-交通运输,301-工资,一般公共预算
136,006,人社局,2025,1595.61,156.93,4673.72,213-农林水,301-工资,专项转移支付
137,005,农业农村局,2025,1656.05,531.65,2129.33,206-科学技术,302-商品服务,政府性基金
138,004,住建局,2025,2638.37,3685.81,2678.19,208-民政,309-资本性支出,专项转移支付
139,002,卫健委,2025,2151.81,1032.82,321.27,210-卫生健康,302-商品服务,专项转移支付
140,002,卫健委,2025,3416.75,1745.11,1144.33,214-交通运输,309-资本性支出,专项转移支付
141,002,卫健委,2025,2424.88,3443.68,4901.52,208-社会保障,309-资本性支出,专项转移支付
142,005,农业农村局,2025,4266.83,255.63,4716.33,208-民政,302-商品服务,政府性基金
143,008,科技局,2025,2124.9,1278.36,1873.91,212-城乡社区,302-商品服务,政府性基金
144,001,教育局,2025,183.65,1850.81,2307.08,210-卫生健康,309-资本性支出,一般公共预算
145,005,农业农村局,2025,177.68,1711.93,3669.83,205-教育,301-工资,政府性基金
146,005,农业农村局,2025,892.0,597.58,3343.45,214-交通运输,302-商品服务,政府性基金
147,004,住建局,2025,3660.85,3733.3,314.37,205-教育,301-工资,专项转移支付
148,008,科技局,2025,738.87,604.08,1618.56,206-科学技术,301-工资,专项转移支付
149,002,卫健委,2025,4194.12,2167.58,2974.05,213-农林水,302-商品服务,一般公共预算
150,003,交通局,2025,2252.9,1776.58,2211.93,213-农林水,302-商品服务,一般公共预算
151,003,交通局,2025,2288.54,1858.17,814.65,206-科学技术,309-资本性支出,政府性基金
152,001,教育局,2025,1097.89,5182.16,2355.17,206-科学技术,301-工资,专项转移支付
153,005,农业农村局,2025,3560.8,3771.88,4659.42,206-科学技术,309-资本性支出,专项转移支付
154,008,科技局,2025,3040.59,3621.68,905.16,206-科学技术,301-工资,专项转移支付
155,001,教育局,2025,1456.56,2867.71,4345.83,208-民政,309-资本性支出,一般公共预算
156,008,科技局,2025,318.56,4337.68,381.44,212-城乡社区,309-资本性支出,一般公共预算
157,007,民政局,2025,1433.9,2117.42,4382.45,208-民政,301-工资,一般公共预算
158,008,科技局,2025,1591.74,640.31,4217.18,205-教育,301-工资,一般公共预算
159,006,人社局,2025,2592.71,2319.78,1763.94,212-城乡社区,302-商品服务,一般公共预算
160,004,住建局,2025,1157.74,4960.17,354.58,214-交通运输,301-工资,政府性基金
161,008,科技局,2025,2067.57,4784.69,3463.84,213-农林水,301-工资,一般公共预算
162,006,人社局,2025,4898.28,1954.01,1137.72,210-卫生健康,301-工资,政府性基金
163,008,科技局,2025,3153.35,896.0,4134.97,213-农林水,309-资本性支出,专项转移支付
164,008,科技局,2025,3177.03,101.12,3296.94,212-城乡社区,309-资本性支出,一般公共预算
165,006,人社局,2025,4911.19,3415.01,1011.81,208-社会保障,301-工资,专项转移支付
166,001,教育局,2025,3581.82,1434.46,3904.68,208-民政,302-商品服务,专项转移支付
167,003,交通局,2025,1210.38,3255.42,1674.65,208-社会保障,301-工资,一般公共预算
168,008,科技局,2025,1241.96,165.51,5013.89,210-卫生健康,301-工资,专项转移支付
169,002,卫健委,2025,2604.72,605.48,2858.72,210-卫生健康,302-商品服务,一般公共预算
170,006,人社局,2025,2055.15,3926.7,2481.94,214-交通运输,309-资本性支出,政府性基金
171,008,科技局,2025,1832.4,171.28,4729.59,214-交通运输,309-资本性支出,专项转移支付
172,003,交通局,2025,184.62,4245.85,3666.54,210-卫生健康,302-商品服务,政府性基金
173,006,人社局,2025,2846.05,5182.56,3802.05,213-农林水,301-工资,一般公共预算
174,004,住建局,2025,800.86,4520.2,1164.42,214-交通运输,309-资本性支出,专项转移支付
175,008,科技局,2025,3027.71,232.66,2351.32,212-城乡社区,309-资本性支出,政府性基金
176,004,住建局,2025,3567.06,1835.58,4891.99,208-社会保障,309-资本性支出,专项转移支付
177,001,教育局,2025,3689.19,4957.7,4399.37,208-社会保障,302-商品服务,政府性基金
178,003,交通局,2025,1394.74,2665.65,3083.48,206-科学技术,302-商品服务,一般公共预算
179,004,住建局,2025,313.3,3046.55,3177.51,205-教育,301-工资,政府性基金
180,006,人社局,2025,2689.88,2157.48,2686.12,208-民政,301-工资,专项转移支付
181,001,教育局,2025,3511.07,134.69,760.56,214-交通运输,309-资本性支出,专项转移支付
182,006,人社局,2025,533.13,1500.72,4205.22,213-农林水,309-资本性支出,专项转移支付
183,006,人社局,2025,1247.85,4872.07,4185.67,205-教育,302-商品服务,专项转移支付
184,007,民政局,2025,1573.53,3668.35,4608.14,206-科学技术,301-工资,一般公共预算
185,008,科技局,2025,4603.89,2192.44,3077.24,208-民政,302-商品服务,政府性基金
186,004,住建局,2025,316.76,2801.67,4195.98,208-民政,309-资本性支出,政府性基金
187,008,科技局,2025,3422.5,1614.35,613.12,210-卫生健康,302-商品服务,一般公共预算
188,001,教育局,2025,3353.42,542.44,2378.28,208-社会保障,302-商品服务,专项转移支付
189,001,教育局,2025,4017.76,1736.61,4787.66,205-教育,309-资本性支出,政府性基金
190,001,教育局,2025,2495.81,1097.06,4911.79,208-民政,302-商品服务,一般公共预算
191,006,人社局,2025,3913.73,2534.9,3328.74,213-农林水,301-工资,政府性基金
192,003,交通局,2025,172.45,3764.19,4058.13,212-城乡社区,301-工资,专项转移支付
193,007,民政局,2025,662.36,4727.79,202.7,208-社会保障,301-工资,政府性基金
194,001,教育局,2025,4602.31,1038.33,3712.86,208-社会保障,302-商品服务,政府性基金
195,001,教育局,2025,4034.7,501.28,2678.94,214-交通运输,301-工资,政府性基金
196,007,民政局,2025,1240.02,4736.79,3593.08,205-教育,302-商品服务,一般公共预算
197,003,交通局,2025,4221.41,1715.34,2904.52,210-卫生健康,309-资本性支出,专项转移支付
198,008,科技局,2025,1821.31,1850.79,4823.36,214-交通运输,301-工资,一般公共预算
199,001,教育局,2025,330.22,3017.41,3155.56,205-教育,302-商品服务,一般公共预算
200,008,科技局,2025,3469.38,265.57,352.94,208-社会保障,301-工资,一般公共预算
