凭证号,日期,摘要,科目,金额,部门,经办人,支付方式,数据来源
PZ-00032,2026-03-07,办公用品采购,5510,11547.97,财务部,员工24,现金,正常
PZ-00444,2026-03-10,办公费费用,5503,78000,市场部,员工14,现金,人造
PZ-00099,2026-03-23,培训费采购,5502,128.81,技术部,员工30,现金,正常
PZ-00016,2026-05-25,印刷费采购,5506,16.81,行政部,员工10,现金,正常
PZ-00189,2026-06-24,维修费采购,5508,34.1,人事部,员工25,公务卡,正常
PZ-00434,2026-04-05,劳务费费用,5510,73500.0,财务部,员工01,银行转账,人造
PZ-00105,2026-04-09,邮电费采购,5510,85189.63,采购部,员工21,现金,正常
PZ-00142,2026-03-04,咨询费采购,5509,19505.54,总经办,员工02,现金,正常
PZ-00248,2026-05-07,租赁费采购,5506,97.05,销售部,员工17,现金,正常
PZ-00349,2026-01-08,劳务费费用,5510,7000,人事部,员工25,银行转账,人造
PZ-00396,2026-04-03,办公费费用,5504,1000,市场部,员工27,现金,人造
PZ-00061,2026-01-25,差旅费采购,5507,265.6,技术部,员工06,公务卡,正常
PZ-00155,2026-06-24,咨询费采购,5503,94.31,财务部,员工19,公务卡,正常
PZ-00010,2026-04-09,租赁费采购,5504,516.34,总经办,员工27,银行转账,正常
PZ-00488,2026-03-14,印刷费费用,5502,1000,市场部,员工14,现金,人造
PZ-00423,2026-04-13,咨询费费用,5509,80000,人事部,员工16,银行转账,人造
PZ-00160,2026-03-01,邮电费采购,5503,5921.53,采购部,员工03,银行转账,正常
PZ-00008,2026-03-03,维修费采购,5502,76.61,采购部,员工09,现金,正常
PZ-00019,2026-04-01,差旅费采购,5506,25.98,人事部,员工08,银行转账,正常
PZ-00199,2026-01-08,会议费采购,5510,730.11,销售部,员工03,银行转账,正常
PZ-00332,2026-02-07,办公费费用,5509,94000,销售部,员工14,现金,人造
PZ-00330,2026-04-20,会议费费用,5510,700.0,采购部,员工14,银行转账,人造
PZ-00430,2026-06-28,办公费费用,5507,6500.0,市场部,员工04,银行转账,人造
PZ-00151,2026-05-18,咨询费采购,5507,8624.31,人事部,员工15,公务卡,正常
PZ-00319,2026-03-22,会议费费用,5507,9139.18,采购部,员工03,现金,人造
PZ-00321,2026-01-19,办公费费用,5506,635.5,采购部,员工04,银行转账,人造
PZ-00119,2026-04-01,邮电费采购,5507,70997.12,市场部,员工03,现金,正常
PZ-00499,2026-04-04,印刷费费用,5502,9896.52,采购部,员工21,银行转账,人造
PZ-00467,2026-03-12,会议费费用,5504,700.0,行政部,员工10,银行转账,人造
PZ-00246,2026-06-04,维修费采购,5501,803.16,销售部,员工11,现金,正常
PZ-00462,2026-01-21,劳务费费用,5502,8000,财务部,员工23,银行转账,人造
PZ-00257,2026-02-25,印刷费采购,5506,84774.48,人事部,员工21,银行转账,正常
PZ-00056,2026-03-13,租赁费采购,5501,861.55,人事部,员工10,银行转账,正常
PZ-00465,2026-01-10,会议费费用,5506,639.41,技术部,员工14,银行转账,人造
PZ-00454,2026-05-18,印刷费费用,5502,86618.9,总经办,员工17,银行转账,人造
PZ-00297,2026-06-26,咨询费采购,5503,54608.29,市场部,员工24,公务卡,正常
PZ-00024,2026-01-28,咨询费采购,5502,22.29,技术部,员工09,公务卡,正常
PZ-00190,2026-02-10,培训费采购,5504,12340.03,总经办,员工22,公务卡,正常
PZ-00197,2026-04-15,办公用品采购,5502,575.88,财务部,员工09,银行转账,正常
PZ-00113,2026-04-16,维修费采购,5508,8415.49,市场部,员工13,银行转账,正常
PZ-00322,2026-05-08,办公费费用,5506,551.88,采购部,员工15,银行转账,人造
PZ-00165,2026-03-02,维修费采购,5507,15269.34,财务部,员工01,银行转账,正常
PZ-00446,2026-05-18,印刷费费用,5502,965.01,总经办,员工18,现金,人造
PZ-00027,2026-06-04,办公用品采购,5507,16.73,总经办,员工26,银行转账,正常
PZ-00048,2026-01-28,培训费采购,5504,33.82,技术部,员工27,现金,正常
PZ-00006,2026-06-15,租赁费采购,5502,1807.12,采购部,员工03,公务卡,正常
PZ-00239,2026-03-27,差旅费采购,5503,47644.03,行政部,员工13,现金,正常
PZ-00013,2026-04-19,会议费采购,5506,6747.01,技术部,员工05,公务卡,正常
PZ-00496,2026-05-19,印刷费费用,5506,954.96,人事部,员工08,银行转账,人造
PZ-00363,2026-01-11,咨询费费用,5507,900.0,人事部,员工04,银行转账,人造
PZ-00302,2026-03-26,办公费费用,5502,900.0,总经办,员工13,现金,人造
PZ-00290,2026-05-24,租赁费采购,5504,380.46,销售部,员工07,现金,正常
PZ-00198,2026-06-20,租赁费采购,5507,754.87,行政部,员工25,现金,正常
PZ-00168,2026-06-02,会议费采购,5501,1072.07,销售部,员工30,银行转账,正常
PZ-00116,2026-05-13,培训费采购,5506,7332.44,技术部,员工23,银行转账,正常
PZ-00234,2026-06-11,维修费采购,5503,3933.74,销售部,员工17,现金,正常
PZ-00029,2026-01-15,租赁费采购,5502,387.44,财务部,员工21,公务卡,正常
PZ-00232,2026-01-11,维修费采购,5508,3514.97,行政部,员工09,现金,正常
PZ-00205,2026-02-27,培训费采购,5508,4813.5,市场部,员工26,银行转账,正常
PZ-00047,2026-03-26,会议费采购,5504,21.79,人事部,员工06,公务卡,正常
PZ-00018,2026-05-20,维修费采购,5503,3841.66,总经办,员工25,银行转账,正常
PZ-00292,2026-02-18,咨询费采购,5505,139.66,采购部,员工15,公务卡,正常
PZ-00335,2026-04-04,会议费费用,5505,1000,财务部,员工15,现金,人造
PZ-00386,2026-01-13,办公费费用,5507,700.0,市场部,员工29,现金,人造
PZ-00201,2026-05-12,维修费采购,5510,4429.23,采购部,员工06,公务卡,正常
PZ-00073,2026-04-09,差旅费采购,5508,1752.0,财务部,员工24,公务卡,正常
PZ-00275,2026-04-06,邮电费采购,5507,30317.35,总经办,员工29,现金,正常
PZ-00157,2026-05-07,邮电费采购,5508,4103.6,技术部,员工28,银行转账,正常
PZ-00401,2026-04-28,咨询费费用,5504,1000.0,市场部,员工10,现金,人造
PZ-00417,2026-04-09,会议费费用,5503,83000,市场部,员工16,银行转账,人造
PZ-00299,2026-04-05,维修费采购,5502,47.64,市场部,员工01,银行转账,正常
PZ-00109,2026-05-25,培训费采购,5508,151.84,财务部,员工07,现金,正常
PZ-00021,2026-02-09,租赁费采购,5510,49468.48,采购部,员工07,公务卡,正常
PZ-00424,2026-06-17,印刷费费用,5510,63011.16,市场部,员工14,银行转账,人造
PZ-00057,2026-05-21,咨询费采购,5508,17857.58,销售部,员工15,公务卡,正常
PZ-00097,2026-02-21,维修费采购,5505,39.47,行政部,员工06,银行转账,正常
PZ-00100,2026-05-08,邮电费采购,5505,142.51,市场部,员工03,银行转账,正常
PZ-00166,2026-02-25,印刷费采购,5505,6945.31,总经办,员工04,银行转账,正常
PZ-00042,2026-03-02,办公用品采购,5506,36.34,市场部,员工21,现金,正常
PZ-00064,2026-02-27,印刷费采购,5509,24500.69,销售部,员工21,银行转账,正常
PZ-00325,2026-06-08,劳务费费用,5503,6000,市场部,员工11,现金,人造
PZ-00306,2026-04-03,印刷费费用,5503,575.23,技术部,员工19,现金,人造
PZ-00382,2026-02-06,办公费费用,5508,91000.0,总经办,员工06,现金,人造
PZ-00213,2026-01-03,会议费采购,5506,4639.46,市场部,员工01,银行转账,正常
PZ-00426,2026-04-11,会议费费用,5501,791.04,财务部,员工22,银行转账,人造
PZ-00400,2026-04-11,会议费费用,5501,768.08,销售部,员工30,现金,人造
PZ-00395,2026-06-02,劳务费费用,5510,800.0,市场部,员工04,现金,人造
PZ-00002,2026-01-01,差旅费采购,5504,85.9,技术部,员工17,公务卡,正常
PZ-00060,2026-06-19,维修费采购,5507,24.55,销售部,员工13,银行转账,正常
PZ-00251,2026-06-23,培训费采购,5506,1704.89,销售部,员工12,公务卡,正常
PZ-00310,2026-02-24,办公费费用,5506,900.0,总经办,员工04,银行转账,人造
PZ-00344,2026-02-02,办公费费用,5505,5400.0,技术部,员工14,银行转账,人造
PZ-00357,2026-03-26,办公费费用,5505,9118.06,行政部,员工09,银行转账,人造
PZ-00365,2026-06-03,劳务费费用,5502,99000.0,市场部,员工21,现金,人造
PZ-00123,2026-01-10,咨询费采购,5506,20.46,采购部,员工05,银行转账,正常
PZ-00194,2026-02-27,培训费采购,5506,49.45,财务部,员工14,银行转账,正常
PZ-00126,2026-04-10,租赁费采购,5503,28.98,行政部,员工15,现金,正常
PZ-00331,2026-05-06,办公费费用,5505,86452.6,市场部,员工06,现金,人造
PZ-00209,2026-06-15,会议费采购,5506,18894.86,市场部,员工16,公务卡,正常
PZ-00224,2026-05-21,邮电费采购,5503,2128.33,采购部,员工17,银行转账,正常
PZ-00495,2026-04-12,办公费费用,5507,71600.0,技术部,员工17,银行转账,人造
PZ-00074,2026-03-08,差旅费采购,5501,69.99,财务部,员工08,银行转账,正常
PZ-00249,2026-04-18,咨询费采购,5509,9956.68,总经办,员工22,公务卡,正常
PZ-00342,2026-04-26,印刷费费用,5501,7600.0,财务部,员工04,现金,人造
PZ-00407,2026-06-01,办公费费用,5503,86500.0,市场部,员工20,银行转账,人造
PZ-00337,2026-05-18,会议费费用,5506,957.01,人事部,员工10,现金,人造
PZ-00001,2026-03-08,维修费采购,5503,20.25,行政部,员工22,公务卡,正常
PZ-00003,2026-06-21,租赁费采购,5507,55.61,技术部,员工15,公务卡,正常
PZ-00078,2026-03-28,差旅费采购,5510,110.19,财务部,员工12,公务卡,正常
PZ-00040,2026-02-09,差旅费采购,5502,29.38,市场部,员工09,现金,正常
PZ-00067,2026-04-02,维修费采购,5507,1542.61,采购部,员工29,公务卡,正常
PZ-00471,2026-01-01,劳务费费用,5501,1000,采购部,员工25,银行转账,人造
PZ-00440,2026-04-04,印刷费费用,5510,600.0,技术部,员工07,银行转账,人造
PZ-00079,2026-01-17,咨询费采购,5501,26615.21,采购部,员工27,现金,正常
PZ-00241,2026-06-11,培训费采购,5509,80.39,销售部,员工05,公务卡,正常
PZ-00023,2026-01-19,租赁费采购,5504,106.4,技术部,员工01,银行转账,正常
PZ-00207,2026-03-17,会议费采购,5509,13.15,销售部,员工09,银行转账,正常
PZ-00059,2026-02-05,办公用品采购,5501,1224.64,技术部,员工16,公务卡,正常
PZ-00326,2026-06-14,办公费费用,5501,1000,技术部,员工15,现金,人造
PZ-00474,2026-04-12,咨询费费用,5504,69677.36,销售部,员工08,银行转账,人造
PZ-00089,2026-06-18,邮电费采购,5504,731.55,技术部,员工24,现金,正常
PZ-00483,2026-01-01,会议费费用,5509,92298.14,采购部,员工27,银行转账,人造
PZ-00324,2026-06-15,印刷费费用,5502,94800.0,人事部,员工02,银行转账,人造
PZ-00226,2026-03-07,租赁费采购,5505,1845.93,市场部,员工21,现金,正常
PZ-00164,2026-01-12,会议费采购,5502,375.49,人事部,员工22,公务卡,正常
PZ-00268,2026-06-20,咨询费采购,5507,51531.85,销售部,员工25,公务卡,正常
PZ-00489,2026-06-13,会议费费用,5507,74000,销售部,员工06,现金,人造
PZ-00145,2026-02-11,邮电费采购,5510,158.63,财务部,员工09,银行转账,正常
PZ-00225,2026-03-06,邮电费采购,5506,15.18,技术部,员工12,公务卡,正常
PZ-00406,2026-04-02,会议费费用,5510,8000,技术部,员工28,银行转账,人造
PZ-00192,2026-01-21,培训费采购,5506,787.29,行政部,员工23,公务卡,正常
PZ-00355,2026-04-20,劳务费费用,5501,900.0,人事部,员工22,银行转账,人造
PZ-00300,2026-05-21,培训费采购,5508,13732.0,财务部,员工01,公务卡,正常
PZ-00153,2026-04-13,会议费采购,5502,13389.31,总经办,员工14,现金,正常
PZ-00152,2026-06-04,租赁费采购,5504,10991.78,采购部,员工15,银行转账,正常
PZ-00046,2026-06-05,维修费采购,5503,49738.36,市场部,员工29,现金,正常
PZ-00427,2026-05-03,咨询费费用,5505,91000,技术部,员工15,现金,人造
PZ-00179,2026-04-17,邮电费采购,5501,832.15,销售部,员工04,现金,正常
PZ-00035,2026-01-20,差旅费采购,5507,957.89,总经办,员工30,现金,正常
PZ-00449,2026-06-24,劳务费费用,5504,68000,采购部,员工08,现金,人造
PZ-00442,2026-05-24,咨询费费用,5509,81346.36,采购部,员工27,现金,人造
PZ-00070,2026-03-22,会议费采购,5503,90290.25,销售部,员工30,银行转账,正常
PZ-00240,2026-03-25,邮电费采购,5504,1557.83,采购部,员工17,银行转账,正常
PZ-00487,2026-05-14,印刷费费用,5504,708.38,财务部,员工23,银行转账,人造
PZ-00223,2026-01-05,咨询费采购,5502,18233.39,销售部,员工15,公务卡,正常
PZ-00120,2026-06-13,差旅费采购,5506,3338.56,采购部,员工11,公务卡,正常
PZ-00397,2026-04-18,印刷费费用,5505,70670.12,销售部,员工30,银行转账,人造
PZ-00369,2026-02-03,会议费费用,5506,92150.21,采购部,员工17,银行转账,人造
PZ-00409,2026-01-01,劳务费费用,5506,6824.31,人事部,员工10,银行转账,人造
PZ-00418,2026-04-01,咨询费费用,5509,6403.39,技术部,员工24,现金,人造
PZ-00221,2026-04-01,咨询费采购,5509,423.67,总经办,员工15,公务卡,正常
PZ-00493,2026-05-02,会议费费用,5508,9521.01,销售部,员工01,银行转账,人造
PZ-00170,2026-05-15,咨询费采购,5502,3171.87,采购部,员工28,银行转账,正常
PZ-00009,2026-03-07,印刷费采购,5502,3162.65,市场部,员工18,公务卡,正常
PZ-00015,2026-04-13,培训费采购,5509,15964.08,人事部,员工18,银行转账,正常
PZ-00088,2026-04-09,印刷费采购,5505,4351.81,技术部,员工04,公务卡,正常
PZ-00478,2026-01-17,印刷费费用,5504,1000,市场部,员工06,银行转账,人造
PZ-00373,2026-06-13,办公费费用,5501,6900.0,采购部,员工22,现金,人造
PZ-00227,2026-02-19,邮电费采购,5503,95.02,总经办,员工27,公务卡,正常
PZ-00320,2026-06-14,劳务费费用,5501,9534.37,总经办,员工23,银行转账,人造
PZ-00127,2026-04-23,印刷费采购,5508,6638.93,人事部,员工07,现金,正常
PZ-00375,2026-04-07,劳务费费用,5504,80900.0,财务部,员工13,现金,人造
PZ-00159,2026-06-27,印刷费采购,5501,16.08,市场部,员工09,公务卡,正常
PZ-00200,2026-01-21,租赁费采购,5510,65967.38,技术部,员工23,银行转账,正常
PZ-00044,2026-03-19,租赁费采购,5503,854.55,采购部,员工05,银行转账,正常
PZ-00463,2026-01-10,办公费费用,5507,77900.0,采购部,员工27,银行转账,人造
PZ-00420,2026-03-10,办公费费用,5509,61670.2,总经办,员工14,银行转账,人造
PZ-00054,2026-06-28,差旅费采购,5505,7623.15,人事部,员工22,现金,正常
PZ-00043,2026-05-23,会议费采购,5509,174.12,财务部,员工04,银行转账,正常
PZ-00269,2026-06-25,差旅费采购,5509,276.18,销售部,员工17,公务卡,正常
PZ-00279,2026-02-09,维修费采购,5502,546.06,财务部,员工26,公务卡,正常
PZ-00014,2026-01-28,差旅费采购,5503,10909.09,市场部,员工26,公务卡,正常
PZ-00431,2026-05-16,劳务费费用,5508,1000,市场部,员工20,现金,人造
PZ-00364,2026-02-23,印刷费费用,5502,900.0,财务部,员工30,银行转账,人造
PZ-00033,2026-04-17,租赁费采购,5503,10.5,财务部,员工17,银行转账,正常
PZ-00049,2026-02-08,办公用品采购,5504,3305.19,采购部,员工11,现金,正常
PZ-00053,2026-05-22,维修费采购,5506,80016.91,采购部,员工03,公务卡,正常
PZ-00348,2026-02-03,咨询费费用,5503,861.61,行政部,员工19,现金,人造
PZ-00351,2026-01-12,印刷费费用,5503,1000,采购部,员工28,现金,人造
PZ-00388,2026-04-06,咨询费费用,5509,7100.0,行政部,员工11,现金,人造
PZ-00303,2026-06-28,咨询费费用,5502,86800.0,采购部,员工13,现金,人造
PZ-00376,2026-03-06,咨询费费用,5506,8600.0,技术部,员工01,现金,人造
PZ-00371,2026-02-05,会议费费用,5507,900.0,总经办,员工22,银行转账,人造
PZ-00065,2026-06-10,维修费采购,5505,1439.87,总经办,员工11,公务卡,正常
PZ-00012,2026-04-13,培训费采购,5503,9212.62,人事部,员工05,银行转账,正常
PZ-00391,2026-06-20,办公费费用,5504,6100.0,行政部,员工01,银行转账,人造
PZ-00309,2026-05-22,办公费费用,5502,8000,人事部,员工26,银行转账,人造
PZ-00212,2026-04-12,培训费采购,5501,41666.45,总经办,员工20,现金,正常
PZ-00339,2026-05-21,印刷费费用,5507,967.62,采购部,员工15,银行转账,人造
PZ-00267,2026-06-10,咨询费采购,5510,4690.28,技术部,员工08,银行转账,正常
PZ-00403,2026-04-05,劳务费费用,5510,90656.17,财务部,员工06,银行转账,人造
PZ-00228,2026-01-03,办公用品采购,5510,28.24,人事部,员工21,银行转账,正常
PZ-00372,2026-02-21,办公费费用,5503,8074.99,行政部,员工29,现金,人造
PZ-00203,2026-03-09,办公用品采购,5506,16.35,行政部,员工12,银行转账,正常
PZ-00137,2026-02-16,办公用品采购,5510,3108.35,总经办,员工30,公务卡,正常
PZ-00150,2026-04-03,差旅费采购,5506,17124.01,市场部,员工03,银行转账,正常
PZ-00163,2026-03-15,会议费采购,5508,46.73,销售部,员工14,现金,正常
PZ-00491,2026-06-22,咨询费费用,5503,63400.0,采购部,员工21,银行转账,人造
PZ-00117,2026-04-02,咨询费采购,5508,62335.62,采购部,员工13,公务卡,正常
PZ-00393,2026-04-09,会议费费用,5505,6000,财务部,员工05,银行转账,人造
PZ-00083,2026-04-28,咨询费采购,5503,23363.96,销售部,员工07,现金,正常
PZ-00394,2026-02-18,咨询费费用,5507,5413.99,采购部,员工18,现金,人造
PZ-00037,2026-01-01,培训费采购,5510,2457.22,行政部,员工03,公务卡,正常
PZ-00208,2026-01-28,咨询费采购,5505,428.61,行政部,员工26,现金,正常
PZ-00379,2026-02-19,会议费费用,5508,935.17,人事部,员工06,现金,人造
PZ-00361,2026-03-11,咨询费费用,5509,986.6,销售部,员工01,现金,人造
PZ-00173,2026-06-27,邮电费采购,5504,3727.37,行政部,员工05,现金,正常
PZ-00086,2026-01-03,印刷费采购,5504,24481.74,采购部,员工23,银行转账,正常
PZ-00366,2026-03-09,印刷费费用,5507,57000,总经办,员工11,现金,人造
PZ-00238,2026-02-12,租赁费采购,5505,15.7,行政部,员工13,公务卡,正常
PZ-00147,2026-03-02,邮电费采购,5507,4015.78,行政部,员工24,银行转账,正常
PZ-00368,2026-04-09,咨询费费用,5502,77700.0,市场部,员工26,现金,人造
PZ-00459,2026-06-03,会议费费用,5504,977.33,采购部,员工27,银行转账,人造
PZ-00229,2026-01-16,租赁费采购,5505,76181.08,人事部,员工16,银行转账,正常
PZ-00354,2026-02-18,印刷费费用,5507,7900.0,行政部,员工10,现金,人造
PZ-00438,2026-02-28,办公费费用,5506,8000,销售部,员工23,现金,人造
PZ-00404,2026-03-23,会议费费用,5505,924.95,总经办,员工27,现金,人造
PZ-00490,2026-06-13,会议费费用,5502,8300.0,技术部,员工15,银行转账,人造
PZ-00146,2026-02-04,办公用品采购,5503,154.02,财务部,员工12,银行转账,正常
PZ-00419,2026-01-21,会议费费用,5504,10000,总经办,员工10,银行转账,人造
PZ-00276,2026-04-13,差旅费采购,5509,38696.19,市场部,员工21,现金,正常
